Index,Date,Close,1DayAgo,2DayAgo,3DayAgo,4DayAgo,5DayAgo,6DayAgo,7DayAgo,8DayAgo,9DayAgo,10DayAgo
185,20110927,117.540001,116.239998,113.540001,112.860001,116.629997,120.169998,120.309998,121.519997,121.43,119.370003,117.739998
186,20110928,115.139999,117.540001,116.239998,113.540001,112.860001,116.629997,120.169998,120.309998,121.519997,121.43,119.370003
187,20110929,116.050003,115.139999,117.540001,116.239998,113.540001,112.860001,116.629997,120.169998,120.309998,121.519997,121.43
188,20110930,113.150002,116.050003,115.139999,117.540001,116.239998,113.540001,112.860001,116.629997,120.169998,120.309998,121.519997
189,20111003,109.93,113.150002,116.050003,115.139999,117.540001,116.239998,113.540001,112.860001,116.629997,120.169998,120.309998
190,20111004,112.339996,109.93,113.150002,116.050003,115.139999,117.540001,116.239998,113.540001,112.860001,116.629997,120.169998
191,20111005,114.419998,112.339996,109.93,113.150002,116.050003,115.139999,117.540001,116.239998,113.540001,112.860001,116.629997
192,20111006,116.489998,114.419998,112.339996,109.93,113.150002,116.050003,115.139999,117.540001,116.239998,113.540001,112.860001
193,20111007,115.709999,116.489998,114.419998,112.339996,109.93,113.150002,116.050003,115.139999,117.540001,116.239998,113.540001
194,20111010,119.580002,115.709999,116.489998,114.419998,112.339996,109.93,113.150002,116.050003,115.139999,117.540001,116.239998
195,20111011,119.699997,119.580002,115.709999,116.489998,114.419998,112.339996,109.93,113.150002,116.050003,115.139999,117.540001
196,20111012,120.75,119.699997,119.580002,115.709999,116.489998,114.419998,112.339996,109.93,113.150002,116.050003,115.139999
197,20111013,120.510002,120.75,119.699997,119.580002,115.709999,116.489998,114.419998,112.339996,109.93,113.150002,116.050003
198,20111014,122.57,120.510002,120.75,119.699997,119.580002,115.709999,116.489998,114.419998,112.339996,109.93,113.150002
199,20111017,120.230003,122.57,120.510002,120.75,119.699997,119.580002,115.709999,116.489998,114.419998,112.339996,109.93
200,20111018,122.580002,120.230003,122.57,120.510002,120.75,119.699997,119.580002,115.709999,116.489998,114.419998,112.339996
201,20111019,121.129997,122.580002,120.230003,122.57,120.510002,120.75,119.699997,119.580002,115.709999,116.489998,114.419998
202,20111020,121.660004,121.129997,122.580002,120.230003,122.57,120.510002,120.75,119.699997,119.580002,115.709999,116.489998
203,20111021,123.970001,121.660004,121.129997,122.580002,120.230003,122.57,120.510002,120.75,119.699997,119.580002,115.709999
204,20111024,125.489998,123.970001,121.660004,121.129997,122.580002,120.230003,122.57,120.510002,120.75,119.699997,119.580002
205,20111025,123.050003,125.489998,123.970001,121.660004,121.129997,122.580002,120.230003,122.57,120.510002,120.75,119.699997
206,20111026,124.300003,123.050003,125.489998,123.970001,121.660004,121.129997,122.580002,120.230003,122.57,120.510002,120.75
207,20111027,128.630005,124.300003,123.050003,125.489998,123.970001,121.660004,121.129997,122.580002,120.230003,122.57,120.510002
208,20111028,128.600006,128.630005,124.300003,123.050003,125.489998,123.970001,121.660004,121.129997,122.580002,120.230003,122.57
